length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,pop_den_length,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
98103.13799999972,98103.13799999972,74.37821310873692,0.6807767571602157,0.6807767571602157,38,1,1036591473.6371969,59790.817,60717.670999999995,4631.204481733895,0.9156723038723231,0.6996675611428399,0.6996675611428399
106874.66699999977,106874.66699999977,78.10974147455975,0.6981000820219333,0.6981000820219333,39,1,1116397936.331495,62588.14800000004,63812.90300000003,4724.336265964425,0.9147106708950157,0.7072008145810337,0.7072008145810337
106874.66699999977,106874.66699999977,78.10974147455975,0.6977715874897032,0.6977715874897032,39,1,1116397936.331495,62588.14800000004,63812.90300000003,4724.336265964425,0.9147106708950157,0.7097058929471868,0.7097058929471868
111190.73399999976,111190.73399999976,78.41110164656872,0.7028276236353989,0.7028276236353989,39,1,1156075223.323784,65039.046000000046,66263.80100000002,4800.5051443823095,0.9131206031540715,0.7103114270685214,0.7103114270685214
118393.38899999978,118393.38899999978,81.66068841461995,0.6967659824559419,0.6967659824559419,39,1,1189248874.0474186,67568.7,68793.455,4865.519726008202,0.911851449965203,0.7116977147529192,0.7116977147529192
120463.16599999978,120463.16599999978,82.36781995178063,0.7047496163041091,0.7047496163041091,39,1,1228972658.6963756,69090.47,70315.22499999995,4874.3997383274245,0.9111702496079139,0.7137692045420503,0.7137692045420503
123781.02799999989,123781.02799999989,83.27670140173429,0.7050000439680761,0.7050000439680761,39,1,1249693662.1586213,71189.73699999995,72414.49199999993,4922.873062577732,0.9103500830973595,0.7147490145062271,0.7147490145062271
129396.60099999976,129396.60099999976,83.77697368900233,0.705590790967063,0.705590790967063,39,1,1297714999.786319,73850.35099999985,75110.32599999978,4986.646121504337,0.9068162665539782,0.715208753945702,0.715208753945702
131431.8899999998,131431.8899999998,84.49703730883179,0.7073740301481606,0.7073740301481606,39,1,1308093994.2601452,75744.37499999981,77004.34999999982,5018.961816315926,0.9059759983270841,0.7119784221331839,0.7119784221331839
134472.43799999994,134472.43799999994,84.89245170423244,0.7097994754359485,0.7097994754359485,39,1,1324422121.4330528,75863.07599999981,77123.05099999982,5057.068087939629,0.9048015364391974,0.7096830133851587,0.7096830133851587
138468.03599999982,138468.03599999982,86.65378413827058,0.7102065080976574,0.7102065080976574,39,1,1348248459.5801806,78050.95499999977,79310.92999999975,5078.38752590814,0.9041944750758244,0.7136104443482112,0.7136104443482112
148294.13999999955,148294.13999999955,88.32273921998659,0.7176203512775661,0.7176203512775661,39,1,1422625886.6691284,81739.99399999974,83779.95999999969,5152.610033253976,0.8989789398398499,0.7202332000599875,0.7202332000599875
148294.13999999955,148294.13999999955,88.32273921998659,0.7149155148517385,0.7149155148517385,39,1,1422625886.6691284,81739.99399999974,83779.95999999969,5152.610033253976,0.8989789398398499,0.7205758058743702,0.7205758058743702
158531.90799999982,158531.90799999982,89.84545353294523,0.7162189388812422,0.7162189388812422,39,1,1487832581.1533613,83755.63899999975,85795.6049999997,5201.075492798509,0.8905285180244433,0.7175831047204823,0.7175831047204823
