length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,pop_den_length,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
95594.3659999995,95594.3659999995,72.94816293035113,0.6072845310202021,0.6072845310202021,38,1,1118727869.2873852,52135.88799999985,53755.24999999981,12964.494267903836,0.903046166631638,0.6249856244313775,0.6249856244313775
104065.02299999967,104065.02299999967,76.73915671517464,0.6017758021614775,0.6017758021614775,39,1,1208982012.7711823,58553.03599999978,60178.695999999785,13162.31789224242,0.8955826365143559,0.6221963299740693,0.6221963299740693
109548.45699999966,109548.45699999966,77.50978668791836,0.6259506277822597,0.6259506277822597,39,1,1294564564.0399716,61228.42699999976,63041.83699999979,14473.405151035187,0.8942182943636974,0.6403042956626915,0.6403042956626915
110567.33299999971,110567.33299999971,77.58957551675661,0.6276315599111958,0.6276315599111958,39,1,1317731433.427775,61228.42699999976,63041.83699999979,14691.325120094809,0.8882489150393935,0.6458524582608076,0.6458524582608076
112569.81199999974,112569.81199999974,77.58957551505263,0.6439039190578874,0.6439039190578874,39,1,1349306067.5600934,62567.11999999979,64380.5299999998,14773.152291516202,0.8845846324460479,0.6588898486928686,0.6588898486928686
114157.43699999977,114157.43699999977,78.04049592967338,0.6495406122774117,0.6495406122774117,39,1,1368962799.8312736,63420.2579999998,65233.6679999998,14847.716184481125,0.8830681576917023,0.6627361193517893,0.6627361193517893
119038.95299999979,119038.95299999979,78.88176184333182,0.6626839874781173,0.6626839874781173,39,1,1414039251.1308956,66005.09699999979,67818.50699999978,14910.149452116906,0.8912531712737849,0.669259134979262,0.669259134979262
124846.51299999992,124846.51299999992,80.38314482778809,0.6754297761340862,0.6754297761340862,39,1,1490078847.3306189,68865.43299999973,70678.8429999997,15097.116602707352,0.8833961388390521,0.676634852336439,0.676634852336439
127167.79499999987,127167.79499999987,81.0063847767063,0.6728191762345531,0.6728191762345531,39,1,1513960525.5189629,70235.44299999972,72048.85299999968,15145.26605745748,0.8812953378317907,0.6825609166509856,0.6825609166509856
131752.49400000006,131752.49400000006,81.87563510601099,0.6786844553656909,0.6786844553656909,39,1,1563050637.6496272,71094.51999999974,72907.92999999967,15225.513406885675,0.8783256618220276,0.6852851005491928,0.6852851005491928
133317.67999999996,133317.67999999996,81.87563510581388,0.6825824272697465,0.6825824272697465,39,1,1586060240.6247756,71407.27999999972,73220.68999999968,15263.730234920615,0.8759308517773005,0.6844564769891511,0.6844564769891511
141808.509,141808.509,83.45378083821807,0.68834529863214,0.68834529863214,39,1,1637962056.806138,73894.76699999966,75708.17699999968,15328.139528763655,0.8718716281569288,0.6965435519856225,0.6965435519856225
141808.509,141808.509,83.45378083821807,0.684675317283459,0.684675317283459,39,1,1637962056.806138,73894.76699999966,75708.17699999968,15328.139528763655,0.8718716281569288,0.6898962413519899,0.6898962413519899
141808.509,141808.509,83.45378083821807,0.6840844016068179,0.6840844016068179,39,1,1637962056.806138,73894.76699999966,75708.17699999968,15328.139528763655,0.8718716281569288,0.6951205670740075,0.6951205670740075
155209.1260000003,155209.1260000003,85.22283113034861,0.6938292924152953,0.6938292924152953,39,1,1744500824.373124,78524.50799999957,80418.70499999958,15431.320976973471,0.8669466998721611,0.6951737077152896,0.6951737077152896
